Project Number,Project Name,Project Status,Project Type,Reporting Region,City,NOA,GEA,GIA,Project Start Date,Construction Start Date,RPDC Date,Estimate at Completion (EAC),Currency Rate,Ownership,General (GNL),Site (STE),Base/Building Core & Shell BSB,MEP,Interiors,FF&E,Legacy,EAC Buckets,Range
OFC-2025-WDC-01,WDC13 — TI Buildout,Complete,Office Fit-Out,NA,Washington DC,15080,22900,19200,2024-09-02,2025-02-10,2025-09-08,3448448,1.00,Leased,529525,168175,299669,884790,875958,538806,135613,Medium,$2–5M
OFC-2024-ZRH-01,Europaallee — Fit-Out,Complete,Office Fit-Out,EMEA,Zurich,14620,22200,18790,2024-03-17,2024-10-07,2025-09-02,4420057,1.13,Leased,556730,159139,296133,1199123,1340665,676600,156889,Medium,$2–5M
RFR-2024-ATL-01,ATL37 — Refresh,Complete,Office Refresh,NA,Atlanta,19860,28380,24950,2024-01-30,2024-08-19,2025-03-17,1807665,1.00,Leased,187043,34541,106005,565587,696245,202578,0,Small,Under $2M
RFR-2023-AUS-01,AUS28 — Workplace Refresh,Complete,Office Refresh,NA,Austin,17230,23210,21290,2023-06-15,2023-11-27,2024-04-25,1327427,1.00,Owned,103955,23885,43656,493342,448921,172088,37486,Small,Under $2M
RFR-2025-AUS-01,AUS29 — Refresh,Complete,Office Refresh,NA,Austin,20620,27780,25360,2024-09-08,2025-02-24,2025-07-24,1617996,1.00,Leased,149281,29017,105983,559123,599316,172867,0,Small,Under $2M
RFR-2024-BLD-01,29th Street — Refresh,Complete,Office Refresh,NA,Boulder,11180,15070,13720,2023-10-19,2024-04-08,2024-09-05,974726,1.00,Owned,87150,23407,63038,300310,380254,119958,0,Small,Under $2M
RFR-2024-CMB-01,Tech Square — Refresh,Complete,Office Refresh,NA,Cambridge,14380,19370,17640,2023-11-23,2024-05-13,2024-10-10,1503864,1.00,Leased,134460,36113,97258,463335,586678,185077,0,Small,Under $2M
RFR-2023-CHI-01,CHI14 — Workplace Refresh,Complete,Office Refresh,NA,Chicago,25720,34650,31480,2023-06-20,2023-12-11,2024-05-09,2302719,1.00,Leased,206055,51690,63022,761671,868682,285392,66600,Small,$2–5M
RFR-2024-DUB-01,Barrow Street — Refresh,Complete,Office Refresh,EMEA,Dublin,17530,25070,22350,2024-01-21,2024-07-29,2025-01-25,1560018,1.08,Leased,175638,35035,109119,512605,560052,177787,0,Small,Under $2M
RFR-2024-HYD-01,WaveRock — Workplace Refresh,Complete,Office Refresh,APAC,Hyderabad,23040,32920,28670,2023-11-29,2024-05-06,2024-09-03,108602583,0.012,Owned,12130917,2390333,3237583,32966250,40009417,13639167,3634167,Small,Under $2M
RFR-2024-LON-01,6 Pancras — Interiors Refresh,Complete,Office Refresh,EMEA,London,15760,21230,19430,2023-10-10,2024-03-25,2024-08-22,1273806,1.27,Leased,113447,24024,43844,395570,472387,188283,33339,Small,Under $2M
RFR-2025-LON-01,LON18 — Refresh,Complete,Office Refresh,EMEA,London,20620,27780,25360,2024-07-28,2025-01-13,2025-06-12,1681696,1.27,Owned,155158,30159,110156,581135,622911,179672,0,Small,$2–5M
RFR-2024-MEX-01,MEX22 — Refresh,Complete,Office Refresh,LATAM,Mexico City,19040,25640,23410,2024-05-19,2024-11-04,2025-04-03,15965897,0.058,Owned,1473069,286328,1045810,5517259,5913862,1705793,0,Small,Under $2M
RFR-2024-MTV-01,MTV38 — Workplace Refresh,Complete,Office Refresh,NA,Mountain View,14610,20890,18490,2023-08-21,2024-03-04,2024-08-31,1922829,1.00,Owned,202021,44343,65881,570931,739311,260976,56437,Small,Under $2M
RFR-2024-MTV-02,MTV39 — Interiors Refresh,Complete,Office Refresh,NA,Mountain View,26130,37360,33000,2024-06-08,2024-12-23,2025-07-21,3465771,1.00,Leased,359789,73869,108204,1095357,1275670,467783,118628,Medium,$2–5M
RFR-2025-MTV-01,MTV40 — Interiors Refresh,Complete,Office Refresh,NA,Mountain View,17970,25690,22690,2024-08-31,2025-03-17,2025-10-13,2382980,1.00,Owned,247382,50790,74399,753141,877120,321637,81566,Small,$2–5M
RFR-2024-MUC-01,MUC12 — Workplace Refresh,Complete,Office Refresh,EMEA,Munich,13820,19750,17200,2024-04-03,2024-09-09,2025-01-07,1472830,1.08,Owned,164515,32417,43906,447077,542594,184970,49285,Small,Under $2M
RFR-2024-NYC-01,NYC43 — Refresh,Complete,Office Refresh,NA,New York,12690,17100,15610,2023-09-03,2024-02-19,2024-07-18,1473984,1.00,Leased,135994,26434,96550,509357,545973,157481,0,Small,Under $2M
RFR-2025-NYC-01,NYC44 — Workplace Refresh,Complete,Office Refresh,NA,New York,17560,23660,21550,2024-10-11,2025-03-31,2025-08-28,2058016,1.00,Leased,188491,49095,60853,753112,729522,220596,54924,Small,$2–5M
RFR-2024-SFO-01,SFO30 — Workplace Refresh,Complete,Office Refresh,NA,San Francisco,20360,27430,25160,2024-01-04,2024-06-17,2024-11-14,2258958,1.00,Leased,176907,40647,74291,839549,763954,292852,63792,Small,$2–5M
RFR-2024-SJC-01,SJC16 — Interiors Refresh,Complete,Office Refresh,NA,San Jose,16440,23510,20710,2023-10-05,2024-04-22,2024-11-18,2120708,1.00,Owned,222087,44012,63746,624352,851821,238086,56534,Small,$2–5M
RFR-2024-SEA-02,SEA15 — Interiors Refresh,Complete,Office Refresh,NA,Seattle,17420,24910,22260,2023-12-12,2024-06-17,2024-12-14,1911617,1.00,Leased,182813,39192,61613,724989,604006,262892,47110,Small,Under $2M
RFR-2024-SEA-01,SEA14 — Workplace Refresh,Complete,Office Refresh,NA,Seattle,22030,31510,28220,2024-04-25,2024-10-28,2025-04-26,2398460,1.00,Owned,229395,52700,83678,859119,785141,328296,72015,Small,$2–5M
RFR-2024-SIN-01,SIN12 — Refresh,Complete,Office Refresh,APAC,Singapore,15860,21370,19510,2024-05-05,2024-10-21,2025-03-20,1984886,0.74,Leased,183132,35596,130015,685908,735215,212065,0,Small,Under $2M
RFR-2024-SVL-01,SVL42 — Interiors Refresh,Complete,Office Refresh,NA,Sunnyvale,19240,27510,24470,2023-07-21,2024-01-29,2024-07-27,2459148,1.00,Owned,235488,41899,64120,851494,917749,300117,66191,Small,$2–5M
RFR-2024-SVL-02,SVL43 — Refresh,Complete,Office Refresh,NA,Sunnyvale,22580,32290,28650,2024-05-15,2024-11-25,2025-05-24,2908329,1.00,Leased,275730,45199,159862,1055845,1041359,353832,0,Small,$2–5M
RFR-2024-SAO-01,SAO42 — Interiors Refresh,Complete,Office Refresh,LATAM,São Paulo,16750,23940,20950,2024-02-25,2024-07-29,2024-11-26,6284880,0.20,Leased,635790,100895,199275,2182315,2228315,702060,191795,Small,Under $2M
RFR-2024-TYO-01,TYO42 — Refresh,Complete,Office Refresh,APAC,Tokyo,20100,28730,25140,2024-04-12,2024-11-04,2025-03-04,398176667,0.0066,Owned,46657879,7103030,24719848,127323636,145531212,43999697,0,Small,$2–5M
RFR-2024-TOR-01,TOR13 — Interiors Refresh,Complete,Office Refresh,NA,Toronto,16030,22920,20390,2024-03-15,2024-09-23,2025-03-22,2165414,0.73,Leased,207360,36895,56460,749786,808129,264268,58285,Small,Under $2M
